"No.","Time","Source","Destination","Protocol","Length","Info"
"47913","1578.267181","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAIZBGojbITFubqff7K5ndY%3D HTTP/1.1 "
"48076","1578.270052","104.18.20.213","172.16.2.38","PKIX-CRL","308","Certificate Revocation List"
"48081","1578.281070","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAIZBGojbITFubqff7K5ndY%3D HTTP/1.1 "
"48095","1578.299277","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48101","1578.302966","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAIZBGojbITFubqff7K5ndY%3D HTTP/1.1 "
"48105","1578.307280","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48127","1578.321138","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48138","1578.324010","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAIZBGojbITFubqff7K5ndY%3D HTTP/1.1 "
"48143","1578.332744","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAIZBGojbITFubqff7K5ndY%3D HTTP/1.1 "
"48151","1578.335547","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAIZBGojbITFubqff7K5ndY%3D HTTP/1.1 "
"48152","1578.335562","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEA79DsUrMNU7P7IvKcJkhP8%3D HTTP/1.1 "
"48163","1578.342779","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48201","1578.364032","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48218","1578.372788","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48223","1578.375524","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48224","1578.375920","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48225","1578.377082","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAowvML4ACq5Ioryztgqo6k%3D HTTP/1.1 "
"48240","1578.395229","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAowvML4ACq5Ioryztgqo6k%3D HTTP/1.1 "
"48264","1578.416523","104.81.99.218","172.16.2.38","OCSP","780","Response"
"48283","1578.435592","104.81.99.218","172.16.2.38","OCSP","780","Response"
"49172","1579.074257","172.16.2.38","104.18.21.213","HTTP","176","GET /103.crl HTTP/1.1 "
"49176","1579.075440","172.16.2.38","104.18.21.213","HTTP","176","GET /103.crl HTTP/1.1 "
"49224","1579.105341","104.18.21.213","172.16.2.38","PKIX-CRL","184","Certificate Revocation List"
"49258","1579.107457","104.18.21.213","172.16.2.38","PKIX-CRL","184","Certificate Revocation List"
"51087","1652.348954","172.16.2.38","185.94.157.14","HTTP","620","GET /pico/1/255191.pic HTTP/1.1 "
"51090","1652.367693","185.94.157.14","172.16.2.38","HTTP","505","HTTP/1.1 200 OK "
"51091","1652.370665","172.16.2.38","185.94.157.14","HTTP","620","GET /pico/1/255192.pic HTTP/1.1 "
"51092","1652.390207","185.94.157.14","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"51099","1652.418847","172.16.2.38","185.94.157.14","HTTP","619","GET /pico/3/26579.pic HTTP/1.1 "
"51101","1652.437189","185.94.157.14","172.16.2.38","HTTP","1022","HTTP/1.1 200 OK "
"51102","1652.439907","172.16.2.38","185.94.157.14","HTTP","619","GET /pico/3/26580.pic HTTP/1.1 "
"51104","1652.458832","185.94.157.14","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"60043","2096.636991","172.16.2.38","212.191.4.179","HTTP","136","GET /files/config.xml HTTP/1.1 "
"60044","2096.639148","212.191.4.179","172.16.2.38","HTTP","1285","HTTP/1.1 200 OK "
"60045","2096.647132","172.16.2.38","212.191.4.179","HTTP","122","GET /files/updater/checksum.xml HTTP/1.1 "
"60046","2096.648640","212.191.4.179","172.16.2.38","HTTP","1470","HTTP/1.1 200 OK "
"62607","2252.354062","172.16.2.38","91.228.167.21","HTTP","620","GET /pico/1/255192.pic HTTP/1.1 "
"62609","2252.376986","91.228.167.21","172.16.2.38","HTTP","613","HTTP/1.1 200 OK "
"62610","2252.379942","172.16.2.38","91.228.167.21","HTTP","620","GET /pico/1/255193.pic HTTP/1.1 "
"62611","2252.402334","91.228.167.21","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"62618","2252.434983","172.16.2.38","91.228.167.21","HTTP","619","GET /pico/3/26580.pic HTTP/1.1 "
"62621","2252.458055","91.228.167.21","172.16.2.38","HTTP","86","HTTP/1.1 200 OK "
"62623","2252.461352","172.16.2.38","91.228.167.21","HTTP","619","GET /pico/3/26581.pic HTTP/1.1 "
"62625","2252.484493","91.228.167.21","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"63064","2272.735649","172.16.2.38","185.94.157.14","HTTP","790","HEAD /eset_upd/endpoint/windows/latest/dll/update.ver.signed HTTP/1.1 "
"63066","2272.754357","185.94.157.14","172.16.2.38","HTTP","447","HTTP/1.1 401 Unauthorized "
"63067","2272.756318","172.16.2.38","185.94.157.14","HTTP","1082","GET /eset_upd/endpoint/windows/latest/dll/update.ver.signed HTTP/1.1 "
"63068","2272.777976","185.94.157.14","172.16.2.38","HTTP","365","HTTP/1.1 304 Not Modified "
"65741","2412.095079","172.16.2.38","91.228.166.46","HTTP","261","POST /livegrid HTTP/1.1 "
"65744","2412.114112","91.228.166.46","172.16.2.38","HTTP","610","HTTP/1.1 200 OK "
"68045","2532.216124","172.16.2.38","91.228.167.137","HTTP","2403","POST /livegrid HTTP/1.1 "
"68065","2532.258040","91.228.167.137","172.16.2.38","HTTP","811","HTTP/1.1 200 OK "
"73530","2852.338366","172.16.2.38","185.94.157.14","HTTP","617","GET /pico/1/255193.pic HTTP/1.1 "
"73532","2852.356756","185.94.157.14","172.16.2.38","HTTP","501","HTTP/1.1 200 OK "
"73534","2852.359596","172.16.2.38","185.94.157.14","HTTP","617","GET /pico/1/255194.pic HTTP/1.1 "
"73535","2852.379524","185.94.157.14","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"73546","2852.407977","172.16.2.38","185.94.157.14","HTTP","616","GET /pico/3/26581.pic HTTP/1.1 "
"73550","2852.426267","185.94.157.14","172.16.2.38","HTTP","931","HTTP/1.1 200 OK "
"73552","2852.429348","172.16.2.38","185.94.157.14","HTTP","616","GET /pico/3/26582.pic HTTP/1.1 "
"73554","2852.447494","185.94.157.14","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"75016","2914.865663","172.16.2.38","199.232.214.172","HTTP","336","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?e1f7e4e95dc1559b HTTP/1.1 "
"75018","2914.882609","199.232.214.172","172.16.2.38","HTTP","257","HTTP/1.1 304 Not Modified "
"75083","2916.931344","172.16.2.38","199.232.214.172","HTTP","342","GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?4afad0dc638b7ab3 HTTP/1.1 "
"75085","2916.949294","199.232.214.172","172.16.2.38","HTTP","256","HTTP/1.1 304 Not Modified "
"75087","2916.958317","172.16.2.38","199.232.214.172","HTTP","336","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?3e28ce3458dd198e HTTP/1.1 "
"75089","2916.974758","199.232.214.172","172.16.2.38","HTTP","257","HTTP/1.1 304 Not Modified "
"77576","3056.681917","172.16.2.38","212.191.4.179","HTTP","136","GET /files/config.xml HTTP/1.1 "
"77577","3056.684445","212.191.4.179","172.16.2.38","HTTP","1285","HTTP/1.1 200 OK "
"77578","3056.691876","172.16.2.38","212.191.4.179","HTTP","122","GET /files/updater/checksum.xml HTTP/1.1 "
"77579","3056.693960","212.191.4.179","172.16.2.38","HTTP","1470","HTTP/1.1 200 OK "
"84907","3341.601434","172.16.2.38","204.79.197.203","HTTP","301","GET /ocsp/MFQwUjBQME4wTDAJBgUrDgMCGgUABBTkdQGdwyPiJnQdbEA5B5X5BZZGLgQUO3DRU%2Bl2JZ1gqMpmD8abrm9UFmoCEzMC8pE3Pj4QbVucF1sAAALykTc%3D HTTP/1.1 "
"84912","3341.614200","204.79.197.203","172.16.2.38","OCSP","1057","Response"
"87476","3452.357991","172.16.2.38","91.228.167.132","HTTP","617","GET /pico/1/255194.pic HTTP/1.1 "
"87478","3452.380937","91.228.167.132","172.16.2.38","HTTP","562","HTTP/1.1 200 OK "
"87479","3452.384073","172.16.2.38","91.228.167.132","HTTP","617","GET /pico/1/255195.pic HTTP/1.1 "
"87480","3452.406940","91.228.167.132","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"87487","3452.439893","172.16.2.38","91.228.167.132","HTTP","616","GET /pico/3/26582.pic HTTP/1.1 "
"87491","3452.462556","91.228.167.132","172.16.2.38","HTTP","963","HTTP/1.1 200 OK "
"87492","3452.465838","172.16.2.38","91.228.167.132","HTTP","616","GET /pico/3/26583.pic HTTP/1.1 "
"87493","3452.488544","91.228.167.132","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
